,precision,recall,f1-score,N Predictions
blanket1,0.858758482030661,0.8213942307692308,0.8396608920014745,8320
blanket2,0.726484381913105,0.9867788461538461,0.8368584679679936,8320
canvas1,1.0,0.4969951923076923,0.6639903653151344,8320
ceiling1,0.9379986323227718,0.49459134615384615,0.6476745101125363,8320
ceiling2,1.0,0.9990384615384615,0.9995189995189995,8320
cushion1,0.837473385379702,0.9927884615384616,0.9085409448385856,8320
floor1,0.9135829581640497,1.0,0.9548401905089803,8320
floor2,0.71600218459858,0.31514423076923076,0.4376564847270906,8320
grass1,0.790720631786772,0.8664663461538461,0.826862418994093,8320
lentils1,0.8876141679661395,0.9578125,0.9213781940108682,8320
linseeds1,0.6870554765291608,0.9868990384615385,0.8101228355779192,8320
oatmeal1,0.7919347919347919,0.8875,0.8369984130582634,8320
pearlsugar1,0.9927304090685066,0.9683894230769231,0.9804088586030665,8320
rice1,0.7805450648157599,0.919110576923077,0.8441794999172049,8320
rice2,0.7431209106390607,0.9965144230769231,0.8513631462750937,8320
rug1,0.6690395752895753,0.6664663461538461,0.6677504816955683,8320
sand1,0.879292072912251,0.997235576923077,0.9345573327325974,8320
scarf1,0.9454889760584336,0.8401442307692307,0.88970915802202,8320
scarf2,1.0,0.3200721153846154,0.48493125739779663,8320
screen1,0.9530408006158584,0.29759615384615384,0.45356292361238326,8320
seat1,0.6211045602213934,0.6204326923076923,0.6207684444711682,8320
seat2,0.9941253263707572,0.5491586538461538,0.7074945803654382,8320
sesameseeds1,0.9421458625525947,0.9688701923076923,0.9553211661531169,8320
stone1,0.7172507965407374,0.9469951923076924,0.8162652162652163,8320
stone2,0.7186184462303865,0.9027644230769231,0.800234391647134,8320
stone3,0.6794736842105263,0.9310096153846154,0.7855983772819473,8320
stoneslab1,0.9237211699523258,0.8616586538461538,0.891611218207823,8320
wall1,0.47342018568433664,0.7599759615384616,0.5834102232884295,8320
,Macro Average
precision,0.8278836762067228
recall,0.7982786744505495
f1-score,0.7839738925917121
support,232960.0
,Weighted Average
precision,0.8278836762067228
recall,0.7982786744505495
f1-score,0.7839738925917121
support,232960.0
,
overall accuracy,0.7982786744505495
