,precision,recall,f1-score,N Predictions
blanket1,1.0,1.0,1.0,320
blanket2,0.9266666666666666,0.86875,0.896774193548387,320
canvas1,1.0,0.934375,0.9660743134087237,320
ceiling1,1.0,1.0,1.0,320
ceiling2,1.0,1.0,1.0,320
cushion1,1.0,1.0,1.0,320
floor1,1.0,1.0,1.0,320
floor2,0.9867549668874173,0.465625,0.6326963906581741,320
grass1,0.911864406779661,0.840625,0.8747967479674796,320
lentils1,0.9034090909090909,0.99375,0.9464285714285715,320
linseeds1,0.7339449541284404,1.0,0.8465608465608466,320
oatmeal1,0.8882175226586103,0.91875,0.9032258064516128,320
pearlsugar1,1.0,0.9875,0.9937106918238994,320
rice1,0.9628482972136223,0.971875,0.9673405909797823,320
rice2,0.9846153846153847,1.0,0.9922480620155039,320
rug1,0.8144654088050315,0.809375,0.8119122257053292,320
sand1,0.9127906976744186,0.98125,0.9457831325301204,320
scarf1,1.0,1.0,1.0,320
scarf2,1.0,1.0,1.0,320
screen1,1.0,1.0,1.0,320
seat1,1.0,1.0,1.0,320
seat2,1.0,1.0,1.0,320
sesameseeds1,0.9876543209876543,1.0,0.9937888198757764,320
stone1,0.7194029850746269,0.753125,0.7358778625954199,320
stone2,0.6280788177339901,0.796875,0.7024793388429751,320
stone3,0.9834437086092715,0.928125,0.9549839228295819,320
stoneslab1,0.8916083916083916,0.796875,0.8415841584158414,320
wall1,1.0,0.990625,0.9952904238618524,320
,Macro Average
precision,0.9369916292982955
recall,0.9299107142857144
f1-score,0.928627003553567
support,8960.0
,Weighted Average
precision,0.9369916292982956
recall,0.9299107142857143
f1-score,0.9286270035535671
support,8960.0
,
overall accuracy,0.9299107142857143
