,precision,recall,f1-score,N Predictions
blanket1,1.0,0.9859375,0.9929189614476791,640
blanket2,0.9248554913294798,1.0,0.960960960960961,640
canvas1,0.9797822706065319,0.984375,0.9820732657833202,640
ceiling1,1.0,0.9984375,0.9992181391712275,640
ceiling2,1.0,1.0,1.0,640
cushion1,1.0,0.9890625,0.9945011783189316,640
floor1,1.0,0.9953125,0.9976507439310885,640
floor2,0.9556574923547401,0.9765625,0.9659969088098918,640
grass1,0.9602385685884692,0.7546875,0.8451443569553805,640
lentils1,0.8224543080939948,0.984375,0.8961593172119487,640
linseeds1,0.9233449477351916,0.828125,0.8731466227347611,640
oatmeal1,0.7700680272108843,0.884375,0.8232727272727273,640
pearlsugar1,1.0,0.95625,0.9776357827476039,640
rice1,0.9562594268476622,0.990625,0.9731389102072142,640
rice2,1.0,0.9703125,0.9849325931800159,640
rug1,1.0,0.45,0.6206896551724138,640
sand1,0.9724770642201835,0.99375,0.982998454404946,640
scarf1,1.0,0.940625,0.9694041867954911,640
scarf2,1.0,1.0,1.0,640
screen1,1.0,1.0,1.0,640
seat1,0.9968847352024922,1.0,0.9984399375975038,640
seat2,1.0,1.0,1.0,640
sesameseeds1,1.0,0.990625,0.9952904238618524,640
stone1,0.6540229885057471,0.8890625,0.7536423841059604,640
stone2,0.7703412073490814,0.9171875,0.8373751783166905,640
stone3,0.9747899159663865,0.90625,0.9392712550607286,640
stoneslab1,0.8691176470588236,0.9234375,0.8954545454545455,640
wall1,1.0,0.984375,0.9921259842519685,640
,Macro Average
precision,0.947510503252488
recall,0.9390625
f1-score,0.9375515169198161
support,17920.0
,Weighted Average
precision,0.9475105032524882
recall,0.9390625
f1-score,0.9375515169198161
support,17920.0
,
overall accuracy,0.9390625
