,precision,recall,f1-score,N Predictions
blanket1,0.9830508474576272,0.996875,0.9899146625290923,640
blanket2,0.935820895522388,0.9796875,0.9572519083969465,640
canvas1,1.0,0.1828125,0.309114927344782,640
ceiling1,1.0,0.996875,0.9984350547730829,640
ceiling2,1.0,1.0,1.0,640
cushion1,0.9984399375975039,1.0,0.9992193598750976,640
floor1,1.0,1.0,1.0,640
floor2,0.0,0.0,0.0,640
grass1,0.547550432276657,0.59375,0.5697151424287856,640
lentils1,0.7702888583218707,0.875,0.8193123628383321,640
linseeds1,0.39255933290570877,0.95625,0.5566166439290586,640
oatmeal1,0.6451016635859519,0.5453125,0.5910245554614733,640
pearlsugar1,0.9829721362229102,0.9921875,0.9875583203732504,640
rice1,0.02666666666666667,0.009375,0.013872832369942197,640
rice2,0.5391743892165122,1.0,0.7006020799124247,640
rug1,0.3531655225019069,0.7234375,0.4746283956945156,640
sand1,0.8323442136498517,0.8765625,0.8538812785388128,640
scarf1,0.9861325115562404,1.0,0.9930178432893716,640
scarf2,1.0,1.0,1.0,640
screen1,1.0,0.9921875,0.996078431372549,640
seat1,0.985981308411215,0.9890625,0.9875195007800311,640
seat2,1.0,1.0,1.0,640
sesameseeds1,0.9447761194029851,0.9890625,0.966412213740458,640
stone1,0.005434782608695652,0.0046875,0.0050335570469798654,640
stone2,0.08048780487804878,0.0515625,0.06285714285714286,640
stone3,0.7754098360655738,0.7390625,0.7568,640
stoneslab1,0.022292993630573247,0.0109375,0.014675052410901467,640
wall1,0.9845890410958904,0.8984375,0.9395424836601307,640
,Macro Average
precision,0.706865689056242
recall,0.7286830357142857
f1-score,0.6979672767722557
support,17920.0
,Weighted Average
precision,0.7068656890562421
recall,0.7286830357142857
f1-score,0.6979672767722558
support,17920.0
,
overall accuracy,0.7286830357142857
