,precision,recall,f1-score,N Predictions
blanket1,0.9843260188087775,0.98125,0.9827856025039124,320
blanket2,0.7785888077858881,1.0,0.8755129958960329,320
canvas1,1.0,0.2625,0.4158415841584159,320
ceiling1,0.9968847352024922,1.0,0.9984399375975038,320
ceiling2,1.0,1.0,1.0,320
cushion1,0.9384164222873901,1.0,0.9682299546142209,320
floor1,1.0,1.0,1.0,320
floor2,0.4444444444444444,0.0125,0.024316109422492405,320
grass1,0.8867313915857605,0.85625,0.8712241653418124,320
lentils1,0.8938547486033519,1.0,0.943952802359882,320
linseeds1,0.5072933549432739,0.978125,0.6680896478121664,320
oatmeal1,0.8319327731092437,0.928125,0.8774002954209749,320
pearlsugar1,1.0,0.984375,0.9921259842519685,320
rice1,0.9936507936507937,0.978125,0.9858267716535434,320
rice2,0.9907120743034056,1.0,0.995334370139969,320
rug1,0.7947214076246334,0.846875,0.8199697428139182,320
sand1,0.940809968847352,0.94375,0.9422776911076443,320
scarf1,1.0,1.0,1.0,320
scarf2,1.0,1.0,1.0,320
screen1,0.960960960960961,1.0,0.9800918836140887,320
seat1,0.8212435233160622,0.990625,0.8980169971671389,320
seat2,0.9846153846153847,1.0,0.9922480620155039,320
sesameseeds1,0.9907120743034056,1.0,0.995334370139969,320
stone1,0.26755852842809363,0.25,0.258481421647819,320
stone2,0.589041095890411,0.5375,0.5620915032679739,320
stone3,0.6397379912663755,0.915625,0.7532133676092545,320
stoneslab1,0.3059360730593607,0.209375,0.24860853432282004,320
wall1,0.9473684210526315,0.9,0.9230769230769231,320
,Macro Average
precision,0.8389121783603389
recall,0.8419642857142857
f1-score,0.8204460970698554
support,8960.0
,Weighted Average
precision,0.838912178360339
recall,0.8419642857142857
f1-score,0.8204460970698554
support,8960.0
,
overall accuracy,0.8419642857142857
