,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,640
blanket2,0.06388361796331436,0.7890625,0.11819777647747222,640
canvas1,0.0,0.0,0.0,640
ceiling1,0.0,0.0,0.0,640
ceiling2,1.0,0.9828125,0.9913317572892041,640
cushion1,0.2307312252964427,0.7296875,0.3506006006006006,640
floor1,0.6525096525096525,0.2640625,0.3759733036707452,640
floor2,0.0,0.0,0.0,640
grass1,0.0855614973262032,0.05,0.0631163708086785,640
lentils1,0.0,0.0,0.0,640
linseeds1,0.0,0.0,0.0,640
oatmeal1,0.0196078431372549,0.0109375,0.014042126379137411,640
pearlsugar1,0.6666666666666666,0.0125,0.0245398773006135,640
rice1,0.0,0.0,0.0,640
rice2,0.07224334600760456,0.0296875,0.042081949058693245,640
rug1,0.1484593837535014,0.165625,0.15657311669128507,640
sand1,0.0,0.0,0.0,640
scarf1,0.1723404255319149,0.50625,0.2571428571428571,640
scarf2,1.0,0.325,0.4905660377358491,640
screen1,0.8290598290598291,0.1515625,0.2562747688243065,640
seat1,0.23373983739837398,0.5390625,0.32608695652173914,640
seat2,0.7912087912087912,0.1125,0.19699042407660738,640
sesameseeds1,1.0,0.0078125,0.015503875968992248,640
stone1,0.0,0.0,0.0,640
stone2,0.0,0.0,0.0,640
stone3,0.0049586776859504135,0.0046875,0.004819277108433735,640
stoneslab1,0.0,0.0,0.0,640
wall1,0.0979381443298969,0.11875,0.10734463276836156,640
,Macro Average
precision,0.2524610334955498
recall,0.17142857142857146
f1-score,0.13539948958655632
support,17920.0
,Weighted Average
precision,0.2524610334955499
recall,0.17142857142857143
f1-score,0.13539948958655632
support,17920.0
,
overall accuracy,0.17142857142857143
