,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,640
blanket2,0.06058884786518982,1.0,0.11425511023832902,640
canvas1,0.0,0.0,0.0,640
ceiling1,0.0,0.0,0.0,640
ceiling2,1.0,0.4421875,0.6132177681473456,640
cushion1,0.1872791519434629,0.0828125,0.11484290357529793,640
floor1,0.0,0.0,0.0,640
floor2,0.9298245614035088,0.0828125,0.15208034433285508,640
grass1,0.020319303338171262,0.021875,0.021068472535741158,640
lentils1,0.0,0.0,0.0,640
linseeds1,0.0,0.0,0.0,640
oatmeal1,0.0,0.0,0.0,640
pearlsugar1,0.0,0.0,0.0,640
rice1,0.0,0.0,0.0,640
rice2,0.0,0.0,0.0,640
rug1,0.0,0.0,0.0,640
sand1,0.0,0.0,0.0,640
scarf1,0.05644171779141104,0.071875,0.06323024054982818,640
scarf2,0.0,0.0,0.0,640
screen1,0.4948805460750853,0.2265625,0.3108252947481243,640
seat1,0.4142732811140122,0.74375,0.5321408608160985,640
seat2,0.10075566750629723,0.0625,0.07714561234329799,640
sesameseeds1,0.0,0.0,0.0,640
stone1,0.0,0.0,0.0,640
stone2,0.0,0.0,0.0,640
stone3,0.08717518860016764,0.1625,0.11347517730496454,640
stoneslab1,0.0,0.0,0.0,640
wall1,0.22808870116156282,0.675,0.34096290449881606,640
,Macro Average
precision,0.12784382024281676
recall,0.1275669642857143
f1-score,0.08761588175323923
support,17920.0
,Weighted Average
precision,0.12784382024281674
recall,0.1275669642857143
f1-score,0.08761588175323924
support,17920.0
,
overall accuracy,0.1275669642857143
