,precision,recall,f1-score,N Predictions
blanket1,0.906619603,0.896302083,0.901431321,38400
blanket2,0.927238394,0.984635417,0.955075338,38400
canvas1,1,0.9284375,0.962890942,38400
ceiling1,0.907939981,0.453828125,0.605167205,38400
ceiling2,1,1,1,38400
cushion1,1,0.996770833,0.998382806,38400
floor1,0.992427571,1,0.996199396,38400
floor2,0.701754046,0.942890625,0.804644702,38400
grass1,0.911405742,0.8109375,0.858241349,38400
lentils1,0.80464546,0.922890625,0.859721262,38400
linseeds1,0.633255504,0.988802083,0.772061814,38400
oatmeal1,0.669891503,0.831276042,0.741908868,38400
pearlsugar1,0.9772872,0.959166667,0.968142151,38400
rice1,0.868052221,0.988697917,0.924455483,38400
rice2,0.710977304,0.999348958,0.830852503,38400
rug1,0.898099812,0.448020833,0.597817777,38400
sand1,0.865262871,0.993046875,0.924761431,38400
scarf1,0.990943653,0.834895833,0.906251325,38400
scarf2,1,0.415234375,0.586806514,38400
screen1,1,0.463697917,0.633597837,38400
seat1,0.956991195,0.6878125,0.800375763,38400
seat2,1,0.945572917,0.972025164,38400
sesameseeds1,0.928844838,0.95421875,0.94136084,38400
stone1,0.678055167,0.971119792,0.798548133,38400
stone2,0.871335459,0.804192708,0.836418792,38400
stone3,0.816520114,0.921328125,0.865763682,38400
stoneslab1,0.874161445,0.92640625,0.899525887,38400
wall1,0.649034098,0.7821875,0.70941685,38400
,Macro Average,,,
precision,0.876455114,,,
recall,0.851847098,,,
f1-score,0.844708755,,,
support,1075200,,,
,Weighted Average,,,
precision,0.876455114,,,
recall,0.851847098,,,
f1-score,0.844708755,,,
support,1075200,,,
,,,,
overall accuracy,0.851847098,,,
