,precision,recall,f1-score,N Predictions
blanket1,0.904342544791983,0.930625,0.9172955490528262,3200
blanket2,1.0,0.9996875,0.9998437255821222,3200
canvas1,0.9026980482204363,0.9828125,0.941053261520048,3200
ceiling1,1.0,0.9934375,0.9967079479542248,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9278765514927877,0.864375,0.8950008089305937,3200
grass1,0.8432505950357021,0.775,0.8076860446181404,3200
lentils1,0.9719687092568449,0.931875,0.9514996809189533,3200
linseeds1,0.7389448002439768,0.7571875,0.7479549313165612,3200
oatmeal1,0.7613250283125708,0.8403125,0.7988710635769459,3200
pearlsugar1,0.9302819036071537,0.9590625,0.9444529927681181,3200
rice1,0.9343065693430657,0.92,0.9270980947882222,3200
rice2,1.0,0.991875,0.9959209287731409,3200
rug1,0.745413870246085,0.520625,0.6130634774609015,3200
sand1,0.8937376027203173,0.985625,0.9374349829097934,3200
scarf1,1.0,0.994375,0.9971795675336885,3200
scarf2,1.0,1.0,1.0,3200
screen1,0.9916330957545708,1.0,0.995798973082309,3200
seat1,0.9859752120026093,0.9446875,0.96488988190233,3200
seat2,1.0,0.99375,0.9968652037617556,3200
sesameseeds1,1.0,0.9690625,0.9842882082209173,3200
stone1,0.5853957363391326,0.7465625,0.6562285400357094,3200
stone2,0.8395647321428571,0.9403125,0.8870872641509433,3200
stone3,0.8683229813664596,0.87375,0.8710280373831777,3200
stoneslab1,0.9733656174334141,0.75375,0.8495949277914759,3200
wall1,0.9553491159724303,0.99625,0.9753709652745908,3200
,Macro Average
precision,0.919776882652943
recall,0.916607142857143
f1-score,0.9161505378324103
support,89600.0
,Weighted Average
precision,0.9197768826529429
recall,0.9166071428571428
f1-score,0.9161505378324102
support,89600.0
,
overall accuracy,0.9166071428571428
