,precision,recall,f1-score,N Predictions
blanket1,0.9842342342342343,0.9559375,0.9698795180722892,3200
blanket2,0.9861504564054139,0.9790625,0.9825936960953426,3200
canvas1,1.0,0.964375,0.9818644607063315,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9429027113237639,0.92375,0.9332280978689819,3200
grass1,0.9483798040693293,0.7865625,0.8599248377177998,3200
lentils1,0.8029953917050692,0.87125,0.8357314148681054,3200
linseeds1,0.9184610967556704,0.9996875,0.9573544815202754,3200
oatmeal1,0.6551974800096922,0.845,0.7380919885355534,3200
pearlsugar1,0.9532595325953259,0.96875,0.9609423434593924,3200
rice1,0.992771841609051,0.9871875,0.989971795675337,3200
rice2,1.0,0.99375,0.9968652037617556,3200
rug1,0.8473648186173853,0.386875,0.5312164771508261,3200
sand1,0.8962879002550298,0.9884375,0.9401099717640066,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9943253467843631,0.985625,0.9899560577526679,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,0.9981208894456624,0.9959375,0.9970279993743156,3200
stone1,0.6510522742701969,0.8990625,0.7552172201076257,3200
stone2,0.7997936016511867,0.7265625,0.7614213197969543,3200
stone3,0.9788569540799471,0.9259375,0.9516621165890476,3200
stoneslab1,0.9048773099060891,0.9334375,0.9189355483771727,3200
wall1,1.0,0.9796875,0.9897395422257301,3200
,Macro Average
precision,0.937679701561336
recall,0.93203125
f1-score,0.9300619318364113
support,89600.0
,Weighted Average
precision,0.937679701561336
recall,0.93203125
f1-score,0.930061931836411
support,89600.0
,
overall accuracy,0.93203125
