,precision,recall,f1-score,N Predictions
blanket1,0.9866710013003901,0.9484375,0.9671765455704271,3200
blanket2,1.0,0.973125,0.9863794741843522,3200
canvas1,0.9438700147710487,0.9984375,0.970387243735763,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9455128205128205,0.921875,0.9335443037974683,3200
grass1,0.9607541362062332,0.7803125,0.8611829625797551,3200
lentils1,0.8342780926975658,0.781875,0.8072269720922729,3200
linseeds1,0.9044694643466393,0.8284375,0.8647855162290002,3200
oatmeal1,0.6196350552557183,0.7534375,0.6800169228599632,3200
pearlsugar1,0.9680250783699059,0.965,0.9665101721439748,3200
rice1,0.8165367483296214,0.9165625,0.863663133097762,3200
rice2,1.0,0.8209375,0.9016646644928781,3200
rug1,0.6807387862796834,0.403125,0.506378802747792,3200
sand1,0.8859771396710343,0.993125,0.9364962428171505,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,0.9996875,0.9998437255821222,3200
seat1,1.0,0.9875,0.9937106918238994,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,1.0,0.9890625,0.9945011783189316,3200
stone1,0.5841020608439647,0.93,0.7175406871609403,3200
stone2,0.727508931471257,0.7,0.713489409141583,3200
stone3,0.9749163879598662,0.9109375,0.9418416801292407,3200
stoneslab1,0.8764213046080191,0.9153125,0.8954448180984409,3200
wall1,1.0,0.98875,0.994343180389692,3200
,Macro Average
precision,0.9181934650937059
recall,0.9109263392857142
f1-score,0.910576011678336
support,89600.0
,Weighted Average
precision,0.918193465093706
recall,0.9109263392857143
f1-score,0.9105760116783361
support,89600.0
,
overall accuracy,0.9109263392857143
