,precision,recall,f1-score,N Predictions
blanket1,0.5140698280354351,0.6165625,0.560670645069622,3200
blanket2,0.999628666914222,0.84125,0.9136263363312405,3200
canvas1,0.5097976740481122,1.0,0.6753191938377123,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,1.0,0.2746875,0.43098798725177734,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.5273566249176005,1.0,0.6905481225722917,3200
floor2,0.48863636363636365,0.0134375,0.026155717761557177,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.6976470588235294,0.1853125,0.2928395061728395,3200
rice1,0.44318351500671943,0.9275,0.5997777104172982,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.19672937415467848,1.0,0.3287783828213295,3200
scarf1,0.5031446540880503,1.0,0.6694560669456068,3200
scarf2,0.9118457300275482,0.1034375,0.18579848442323885,3200
screen1,0.47090620031796504,0.4628125,0.46682427107959024,3200
seat1,1.0,0.23,0.3739837398373984,3200
seat2,0.5206638464041653,1.0,0.6847849347314359,3200
sesameseeds1,0.1552511415525114,0.02125,0.03738317757009346,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.1175392670157068,0.1403125,0.12792022792022795,3200
stoneslab1,0.05313400576368876,0.36875,0.09288413098236777,3200
wall1,0.9124678190511217,0.7753125,0.8383172833248861,3200
,Macro Average
precision,0.3579286346341935
recall,0.35573660714285715
f1-score,0.28557342568037547
support,89600.0
,Weighted Average
precision,0.35792863463419344
recall,0.35573660714285715
f1-score,0.28557342568037547
support,89600.0
,
overall accuracy,0.35573660714285715
