,precision,recall,f1-score,N Predictions
blanket1,0.9805276381909548,0.975625,0.9780701754385965,3200
blanket2,0.9783683559950557,0.989375,0.9838408949658174,3200
canvas1,1.0,0.893125,0.9435457246616045,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9549166938908853,0.9134375,0.933716658680722,3200
grass1,0.94186902133922,0.8,0.8651571476850287,3200
lentils1,0.8231210383338364,0.8521875,0.8374021188392445,3200
linseeds1,0.7443872778297475,0.9946875,0.8515248796147673,3200
oatmeal1,0.6358011049723757,0.8990625,0.7448543689320387,3200
pearlsugar1,0.9422141119221411,0.968125,0.9549938347718865,3200
rice1,1.0,0.61375,0.7606506584043378,3200
rice2,0.7617233991906689,1.0,0.8647480070260776,3200
rug1,0.8688619295205083,0.47,0.6100182518758872,3200
sand1,0.916083916083916,0.9825,0.948130277442702,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9949638023292414,0.9878125,0.9913752548220166,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,0.9921899406435489,0.9925,0.9923449461021716,3200
stone1,0.6407124681933842,0.786875,0.7063113604488078,3200
stone2,0.8493150684931506,0.678125,0.7541268462206776,3200
stone3,0.9667634720877702,0.93625,0.9512621050960469,3200
stoneslab1,0.859204618345093,0.8371875,0.8480531813865148,3200
wall1,1.0,0.9790625,0.9894204958155692,3200
,Macro Average
precision,0.9232508520486249
recall,0.9124888392857143
f1-score,0.9110552567225184
support,89600.0
,Weighted Average
precision,0.9232508520486249
recall,0.9124888392857143
f1-score,0.9110552567225183
support,89600.0
,
overall accuracy,0.9124888392857143
