,precision,recall,f1-score,N Predictions
blanket1,0.9923224568138196,0.969375,0.9807145115396775,3200
blanket2,0.9867046533713201,0.9740625,0.9803428211983016,3200
canvas1,1.0,0.97375,0.9867004433185561,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9364234262449107,0.934375,0.9353980916627561,3200
grass1,0.9695488721804512,0.8059375,0.8802047781569966,3200
lentils1,0.8494342906875544,0.915,0.8809989468933354,3200
linseeds1,0.9094762337269149,0.93875,0.9238812855605105,3200
oatmeal1,0.6901447661469933,0.7746875,0.7299764428739693,3200
pearlsugar1,0.9614435533621222,0.9740625,0.9677118907171686,3200
rice1,0.963552833078101,0.983125,0.9732405259087394,3200
rice2,1.0,1.0,1.0,3200
rug1,0.7441497659906396,0.4471875,0.5586570368924458,3200
sand1,0.909325681492109,0.9903125,0.9480927449513837,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9987421383647799,0.9925,0.9956112852664578,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,0.9971936389148737,0.999375,0.9982831278289371,3200
stone1,0.6472406181015452,0.91625,0.7586028460543336,3200
stone2,0.8290453622207177,0.7653125,0.7959051023724407,3200
stone3,0.9703486477680026,0.930625,0.9500717817833786,3200
stoneslab1,0.9264568401371144,0.9290625,0.9277578405367453,3200
wall1,1.0,0.98125,0.9905362776025236,3200
,Macro Average
precision,0.9386269206643562
recall,0.9355357142857141
f1-score,0.9343817064685235
support,89600.0
,Weighted Average
precision,0.938626920664356
recall,0.9355357142857142
f1-score,0.9343817064685236
support,89600.0
,
overall accuracy,0.9355357142857142
