,precision,recall,f1-score,N Predictions
blanket1,0.9829491632459741,0.9728125,0.9778545625883462,3200
blanket2,0.9791407222914073,0.9828125,0.9809731752963193,3200
canvas1,1.0,0.8909375,0.942323582878863,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9452184927169094,0.9328125,0.9389745202893991,3200
grass1,0.8985990660440294,0.841875,0.8693126815101646,3200
lentils1,0.8284132841328413,0.841875,0.8350898946063235,3200
linseeds1,0.8391959798994975,0.9915625,0.9090388196533449,3200
oatmeal1,0.6016448755799241,0.8915625,0.7184588264920675,3200
pearlsugar1,0.962281795511222,0.9646875,0.9634831460674158,3200
rice1,1.0,0.9659375,0.9826736607852489,3200
rice2,0.9815950920245399,1.0,0.9907120743034055,3200
rug1,0.8554307116104869,0.356875,0.503638368246968,3200
sand1,0.914655679811654,0.97125,0.9421036677781146,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9943785134291068,0.995,0.9946891596376133,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,1.0,0.9815625,0.9906954739000158,3200
stone1,0.6921188982819744,0.793125,0.7391874180865007,3200
stone2,0.802317880794702,0.7571875,0.7790996784565916,3200
stone3,0.9552473999369682,0.9471875,0.9512003765887338,3200
stoneslab1,0.8535051870480981,0.8484375,0.850963798777621,3200
wall1,0.9939930445779324,0.9825,0.9882131070249882,3200
,Macro Average
precision,0.9314530638191884
recall,0.9253571428571429
f1-score,0.9231673568917161
support,89600.0
,Weighted Average
precision,0.931453063819188
recall,0.9253571428571429
f1-score,0.9231673568917158
support,89600.0
,
overall accuracy,0.9253571428571429
