,precision,recall,f1-score,N Predictions
blanket1,0.9867214669617452,0.9753125,0.9809838126669811,3200
blanket2,0.9987171263630532,0.973125,0.9857549857549858,3200
canvas1,0.983224603914259,0.9890625,0.9861349119800591,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9302030456852792,0.91625,0.9231738035264484,3200
grass1,0.9357734806629834,0.846875,0.8891076115485564,3200
lentils1,0.9064828614008942,0.7603125,0.8269884432358939,3200
linseeds1,0.9217739451801663,0.9353125,0.9284938731192803,3200
oatmeal1,0.5744103527447297,0.86,0.6887748717306972,3200
pearlsugar1,0.963044159098027,0.9609375,0.961989676208353,3200
rice1,0.8465129851181792,0.9065625,0.8755092802172928,3200
rice2,1.0,0.885625,0.9393437189260855,3200
rug1,0.7769230769230769,0.2840625,0.41601830663615563,3200
sand1,0.9114992721979621,0.9784375,0.9437829691032403,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9944064636420137,1.0,0.9971953879713306,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,1.0,0.9615625,0.9804046519037758,3200
stone1,0.6726741354115928,0.863125,0.7560908842047631,3200
stone2,0.7062224669603524,0.8015625,0.7508782201405153,3200
stone3,0.9592096876991715,0.940625,0.949826443673083,3200
stoneslab1,0.9161893277057582,0.9496875,0.9326377167408317,3200
wall1,0.9962299717247879,0.9909375,0.9935766880777064,3200
,Macro Average
precision,0.9278649439069298
recall,0.9206919642857142
f1-score,0.9180952234773583
support,89600.0
,Weighted Average
precision,0.9278649439069296
recall,0.9206919642857143
f1-score,0.9180952234773585
support,89600.0
,
overall accuracy,0.9206919642857143
