,precision,recall,f1-score,N Predictions
blanket1,1.0,0.999375,0.9996874023132228,3200
blanket2,0.9987515605493134,1.0,0.9993753903810119,3200
canvas1,1.0,0.956875,0.9779623123602682,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9844961240310077,0.9921875,0.9883268482490272,3200
grass1,0.9443872296601442,0.8596875,0.9000490757402259,3200
lentils1,0.880243161094225,0.905,0.8924499229583975,3200
linseeds1,0.7764917695473251,0.9434375,0.85186230248307,3200
oatmeal1,0.7945661214305517,0.895625,0.842074335243132,3200
pearlsugar1,0.9109263657957245,0.95875,0.9342265529841657,3200
rice1,0.9987369750552574,0.9884375,0.9935605465682424,3200
rice2,1.0,1.0,1.0,3200
rug1,0.9978813559322034,0.58875,0.740566037735849,3200
sand1,0.9116154075843536,0.9540625,0.9323560848984578,3200
scarf1,1.0,0.99875,0.9993746091307067,3200
scarf2,1.0,1.0,1.0,3200
screen1,0.9731543624161074,0.9515625,0.9622373202717649,3200
seat1,0.9993753903810119,1.0,0.999687597625742,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,0.9938867438867439,0.9653125,0.9793912492073558,3200
stone1,0.5802919708029197,0.4471875,0.5051182492057888,3200
stone2,0.5525022341376229,0.7728125,0.6443460135487233,3200
stone3,0.91725841309046,0.9284375,0.9228141015685666,3200
stoneslab1,0.9366219169528567,0.9375,0.937060752772138,3200
wall1,0.9705493050959629,0.9165625,0.9427836708453874,3200
,Macro Average
precision,0.9329191574087069
recall,0.927154017857143
f1-score,0.9266182277175444
support,89600.0
,Weighted Average
precision,0.932919157408707
recall,0.9271540178571429
f1-score,0.9266182277175444
support,89600.0
,
overall accuracy,0.9271540178571429
