,precision,recall,f1-score,N Predictions
blanket1,0.9844345616264295,0.9684375,0.9763705103969754,3200
blanket2,0.9868626837660307,0.9859375,0.9863998749413788,3200
canvas1,1.0,0.97125,0.9854153455928979,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.9443037974683545,0.9325,0.938364779874214,3200
grass1,0.9643387815750372,0.81125,0.881194840461643,3200
lentils1,0.8303495311167945,0.913125,0.8697722875427891,3200
linseeds1,0.9050071530758226,0.9884375,0.9448842419716207,3200
oatmeal1,0.7034313725490197,0.8071875,0.7517462165308497,3200
pearlsugar1,0.9727300898667492,0.9809375,0.9768165551579275,3200
rice1,0.9709966059858068,0.9834375,0.9771774569166278,3200
rice2,1.0,1.0,1.0,3200
rug1,0.7885044642857143,0.4415625,0.5661057692307693,3200
sand1,0.9090389016018307,0.993125,0.9492234169653524,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9987377721678763,0.9890625,0.993876589731512,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,1.0,0.9909375,0.9954481243132947,3200
stone1,0.6709976798143852,0.90375,0.7701731025299602,3200
stone2,0.820530023482053,0.764375,0.7914576929299465,3200
stone3,0.9851190476190477,0.9309375,0.9572622107969152,3200
stoneslab1,0.9179566563467493,0.9265625,0.9222395023328148,3200
wall1,1.0,0.99,0.9949748743718593,3200
,Macro Average
precision,0.9411906829409894
recall,0.938314732142857
f1-score,0.9367465497353339
support,89600.0
,Weighted Average
precision,0.9411906829409892
recall,0.9383147321428571
f1-score,0.9367465497353339
support,89600.0
,
overall accuracy,0.9383147321428571
