,precision,recall,f1-score,N Predictions
blanket1,0.9930180894953983,0.9778125,0.9853566367501182,3200
blanket2,0.9879441624365483,0.973125,0.9804785894206549,3200
canvas1,1.0,0.975625,0.9876621322366339,3200
ceiling1,1.0,1.0,1.0,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,1.0,1.0,3200
floor1,1.0,1.0,1.0,3200
floor2,0.941793893129771,0.9253125,0.9334804539722571,3200
grass1,0.9382671480144404,0.8121875,0.8706867671691793,3200
lentils1,0.848136645962733,0.8534375,0.8507788161993769,3200
linseeds1,0.9092298288508558,0.9296875,0.919344870210136,3200
oatmeal1,0.6180939226519337,0.8390625,0.7118239660657476,3200
pearlsugar1,0.9799490770210058,0.9621875,0.9709870703248187,3200
rice1,0.9347362000609942,0.9578125,0.9461336626022534,3200
rice2,1.0,0.97875,0.9892608970309539,3200
rug1,0.7982770997846375,0.3475,0.4842151099499238,3200
sand1,0.9209991286668603,0.9909375,0.9546891464699685,3200
scarf1,1.0,1.0,1.0,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,1.0,1.0,3200
seat1,0.9962616822429906,0.999375,0.9978159126365054,3200
seat2,1.0,1.0,1.0,3200
sesameseeds1,1.0,0.981875,0.9908546199936928,3200
stone1,0.6667457305502846,0.8784375,0.7580906148867314,3200
stone2,0.7753383458646617,0.805625,0.7901915708812262,3200
stone3,0.970341715022566,0.940625,0.9552523008568707,3200
stoneslab1,0.9148611534940494,0.936875,0.9257372240234677,3200
wall1,1.0,0.98875,0.994343180389692,3200
,Macro Average
precision,0.9354997794017761
recall,0.9305357142857142
f1-score,0.9284708407882217
support,89600.0
,Weighted Average
precision,0.9354997794017759
recall,0.9305357142857142
f1-score,0.9284708407882216
support,89600.0
,
overall accuracy,0.9305357142857142
