,precision,recall,f1-score,N Predictions
blanket1,0.6767523953605648,0.6989583333333333,0.6876761465539328,38400
blanket2,0.7383547788953194,0.6844010416666667,0.7103548936400249,38400
canvas1,0.35805744607221135,0.5658333333333333,0.4385817950607067,38400
ceiling1,0.691382061921481,0.5640885416666667,0.6212820880539223,38400
ceiling2,0.8283866738184635,0.7239322916666666,0.7726451541176796,38400
cushion1,0.32260931389975117,0.425390625,0.3669384729429207,38400
floor1,0.7596929667975723,0.554140625,0.6408372233097425,38400
floor2,0.07446803264541263,0.39325520833333333,0.12522337624644983,38400
grass1,0.6907556745648722,0.577734375,0.6292099777358652,38400
lentils1,0.6233728666473821,0.505078125,0.5580251176039014,38400
linseeds1,0.38395457192778104,0.41203125,0.3974977389207115,38400
oatmeal1,0.4756612928470809,0.395703125,0.43201364702537487,38400
pearlsugar1,0.6118557988510532,0.38276041666666666,0.4709237127935664,38400
rice1,0.727459807073955,0.7364583333333333,0.7319314137819476,38400
rice2,0.7627551020408163,0.49833333333333335,0.6028225806451613,38400
rug1,0.7014598971570424,0.3090625,0.4290750013557729,38400
sand1,0.8577262451688179,0.6126041666666666,0.7147327803603438,38400
scarf1,0.7044902912621359,0.54421875,0.6140691114245417,38400
scarf2,0.6919967663702506,0.6241666666666666,0.6563338627526151,38400
screen1,0.8433134775490299,0.6304427083333334,0.7215044630217414,38400
seat1,0.8152801949182039,0.6099739583333333,0.6978400119171756,38400
seat2,0.896732117322917,0.6695833333333333,0.7666870424761081,38400
sesameseeds1,0.44908775242910665,0.38395833333333335,0.4139770605494799,38400
stone1,0.7379320060105184,0.40924479166666666,0.5265009380863039,38400
stone2,0.6599473456717356,0.4373697916666667,0.5260849817538255,38400
stone3,0.6826844338569196,0.4776302083333333,0.5620384273588086,38400
stoneslab1,0.4270786234614419,0.44276041666666666,0.43477816136043984,38400
wall1,0.7812193971927025,0.5609114583333333,0.6529838868593776,38400
,Macro Average
precision,0.6419452618476622
recall,0.5296437872023809
f1-score,0.5679488952753015
support,1075200.0
,Weighted Average
precision,0.6419452618476622
recall,0.5296437872023809
f1-score,0.5679488952753016
support,1075200.0
,
overall accuracy,0.5296437872023809
