,precision,recall,f1-score,N Predictions
blanket1,0.7131285503892278,0.7061458333333334,0.7096200146550822,38400
blanket2,1.0,0.9811458333333334,0.9904832010095168,38400
canvas1,0.6475269259792824,0.9832291666666667,0.7808247507962114,38400
ceiling1,0.9170413187754228,0.8923958333333334,0.9045507338190266,38400
ceiling2,1.0,1.0,1.0,38400
cushion1,0.9960045662100456,0.9088541666666666,0.9504357298474946,38400
floor1,1.0,0.9997916666666666,0.9998958224815084,38400
floor2,1.0,0.9998958333333333,0.9999479139538517,38400
grass1,0.7755887473655273,0.8816666666666667,0.8252327792131819,38400
lentils1,0.9616978525681276,0.7977083333333334,0.8720605819051416,38400
linseeds1,0.8044528941521405,0.9145833333333333,0.8559903481726117,38400
oatmeal1,0.5956728041673114,0.6015364583333334,0.5985902718391252,38400
pearlsugar1,0.6970858005340764,0.7817708333333333,0.7370036211870128,38400
rice1,0.9662979427271787,0.9736458333333333,0.9699579722928449,38400
rice2,0.9935771262819849,0.9990625,0.9963122630239443,38400
rug1,0.7118723733687238,0.6704947916666667,0.6905643171333548,38400
sand1,0.736577044919178,0.9445833333333333,0.8277121080735704,38400
scarf1,0.978021978021978,0.9827083333333333,0.980359555232256,38400
scarf2,1.0,0.9689583333333334,0.9842344725425881,38400
screen1,1.0,0.8455208333333334,0.9162950838178021,38400
seat1,0.6761440107671601,0.8372916666666667,0.748138495904691,38400
seat2,0.735609756097561,0.7854166666666667,0.7596977329974811,38400
sesameseeds1,0.9878575838649928,1.0,0.9938917072160679,38400
stone1,0.5104739010989011,0.9290625,0.6589095744680852,38400
stone2,0.41299193930772876,0.09072916666666667,0.14877444700657613,38400
stone3,0.5418805926360569,0.38479166666666664,0.4500213193640738,38400
stoneslab1,0.6125039172673143,0.4071875,0.48917532223751714,38400
wall1,0.8118932038834952,0.4878125,0.6094482040603851,38400
,Macro Average
precision,0.813710743942265
recall,0.8127139136904763
f1-score,0.8017188694375358
support,1075200.0
,Weighted Average
precision,0.8137107439422648
recall,0.8127139136904762
f1-score,0.8017188694375359
support,1075200.0
,
overall accuracy,0.8127139136904762
