,precision,recall,f1-score,N Predictions
blanket1,0.7411863458310016,0.8278125,0.7821080602302923,3200
blanket2,1.0,0.9503125,0.9745233135715431,3200
canvas1,0.9530754597336716,0.939375,0.9461756373937678,3200
ceiling1,0.6519886363636364,0.860625,0.7419181034482757,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,0.9625,0.980891719745223,3200
floor1,1.0,1.0,1.0,3200
floor2,0.4562954513047198,1.0,0.6266523058846569,3200
grass1,0.7613793103448275,0.5175,0.6161860465116278,3200
lentils1,0.898521162672106,0.550625,0.6828134082542143,3200
linseeds1,0.7771908017402113,0.7815625,0.7793705204113431,3200
oatmeal1,0.6358322744599746,0.781875,0.7013314646110722,3200
pearlsugar1,0.6211754347347568,0.881875,0.7289164406560765,3200
rice1,0.9412688442211056,0.9365625,0.9389097744360902,3200
rice2,0.9506833036244801,1.0,0.9747182455071581,3200
rug1,0.7092084006462036,0.4115625,0.5208621712477753,3200
sand1,0.7228055438891222,0.5378125,0.6167353520874396,3200
scarf1,0.9959311424100157,0.994375,0.9951524628616106,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,0.8815625,0.937053645573825,3200
seat1,0.9632014719411224,0.9815625,0.9722953103234794,3200
seat2,0.6956417624521073,0.9078125,0.7876898047722344,3200
sesameseeds1,1.0,1.0,1.0,3200
stone1,0.48487571129080564,0.5059375,0.49518274965591075,3200
stone2,0.37076333628057767,0.393125,0.38161686637342634,3200
stone3,0.5107816711590296,0.5921875,0.548480463096961,3200
stoneslab1,0.5304347826086957,0.1715625,0.2592680047225502,3200
wall1,0.8006872852233677,0.29125,0.4271310724106325,3200
,Macro Average
precision,0.7918902904618407
recall,0.7735491071428573
f1-score,0.7648565337066852
support,89600.0
,Weighted Average
precision,0.7918902904618407
recall,0.7735491071428572
f1-score,0.7648565337066852
support,89600.0
,
overall accuracy,0.7735491071428572
