,precision,recall,f1-score,N Predictions
blanket1,0.3597733711048159,0.3571875,0.35847577230672734,3200
blanket2,0.09115281501340483,0.414375,0.14943370710542628,3200
canvas1,0.2294138798993168,0.39875,0.29125770372061177,3200
ceiling1,0.36977368622938245,0.30125,0.33201308765283283,3200
ceiling2,0.10107575078440162,0.4228125,0.16314964427830703,3200
cushion1,0.3423456339057362,0.2928125,0.315647633484925,3200
floor1,0.4248262792166772,0.4203125,0.42255733584668553,3200
floor2,0.14625668449197862,0.341875,0.20486891385767791,3200
grass1,0.35627906976744184,0.239375,0.2863551401869159,3200
lentils1,0.34421099687080914,0.240625,0.2832444362700019,3200
linseeds1,0.18306114698063045,0.150625,0.16526658666209496,3200
oatmeal1,0.23076923076923078,0.1303125,0.1665668064709407,3200
pearlsugar1,0.3875,0.174375,0.24051724137931035,3200
rice1,0.3438997419830446,0.2915625,0.31557584982242515,3200
rice2,0.25770142180094785,0.271875,0.2645985401459854,3200
rug1,0.12,0.0328125,0.051533742331288344,3200
sand1,0.5113333333333333,0.2396875,0.32638297872340427,3200
scarf1,0.6107423053711527,0.31625,0.4167181387687873,3200
scarf2,0.7258373205741627,0.4740625,0.5735349716446125,3200
screen1,0.5491071428571429,0.4228125,0.4777542372881356,3200
seat1,0.8578052550231839,0.346875,0.4939919893190921,3200
seat2,0.653997378768021,0.1559375,0.25182942215493315,3200
sesameseeds1,0.7422178988326849,0.2384375,0.3609271523178808,3200
stone1,0.5305719921104537,0.168125,0.2553393450403417,3200
stone2,0.36829066886870354,0.139375,0.2022217184311947,3200
stone3,0.6365714285714286,0.1740625,0.27337423312883435,3200
stoneslab1,0.23671137605563836,0.2978125,0.2637697204539164,3200
wall1,0.4515406162464986,0.251875,0.323370110330993,3200
,Macro Average
precision,0.3986702294796508
recall,0.27522321428571433
f1-score,0.2939384342544386
support,89600.0
,Weighted Average
precision,0.3986702294796508
recall,0.2752232142857143
f1-score,0.29393843425443866
support,89600.0
,
overall accuracy,0.2752232142857143
