,precision,recall,f1-score,N Predictions
blanket1,0.04482758620689655,0.0121875,0.019164619164619166,3200
blanket2,0.2238372093023256,0.1684375,0.19222539229671898,3200
canvas1,0.019184652278177457,0.0025,0.004423555432679016,3200
ceiling1,0.043745203376822715,0.0178125,0.025316455696202528,3200
ceiling2,0.15963636363636363,0.1371875,0.14756302521008405,3200
cushion1,0.04630650496141125,0.091875,0.06157712849513038,3200
floor1,0.0779555065269351,0.1325,0.09815950920245398,3200
floor2,0.04692499111269108,0.66,0.08762031198141387,3200
grass1,0.04976525821596244,0.0165625,0.02485345838218054,3200
lentils1,0.03667355371900827,0.0221875,0.02764797507788162,3200
linseeds1,0.03820631409611904,0.059375,0.046494555242872875,3200
oatmeal1,0.06051032806804374,0.0778125,0.06807928913192071,3200
pearlsugar1,0.036550542547115934,0.02,0.02585336295697839,3200
rice1,0.0011344299489506524,0.000625,0.0008059641345960105,3200
rice2,0.027586206896551724,0.0075,0.011793611793611793,3200
rug1,0.02595797280593325,0.0065625,0.010476428036916936,3200
sand1,0.023109243697478993,0.0034375,0.0059847660500544075,3200
scarf1,0.04081632653061224,0.0025,0.004711425206124852,3200
scarf2,0.0971690895179801,0.0396875,0.05635677834479698,3200
screen1,0.02564102564102564,0.00375,0.006543075245365321,3200
seat1,0.04838709677419355,0.001875,0.003610108303249097,3200
seat2,0.0410958904109589,0.0028125,0.005264697279906405,3200
sesameseeds1,0.03651162790697674,0.0490625,0.04186666666666666,3200
stone1,0.039301310043668124,0.0028125,0.005249343832020997,3200
stone2,0.04945054945054945,0.0028125,0.0053222945002956825,3200
stone3,0.05,0.00125,0.0024390243902439024,3200
stoneslab1,0.01875,0.0009375,0.0017857142857142857,3200
wall1,0.0,0.0,0.0,3200
,Macro Average
precision,0.05032267084545544
recall,0.05514508928571429
f1-score,0.03539959058359641
support,89600.0
,Weighted Average
precision,0.050322670845455435
recall,0.05514508928571429
f1-score,0.03539959058359641
support,89600.0
,
overall accuracy,0.05514508928571429
