,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.0,0.0,0.0,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.06578812113237803,1.0,0.1234544086726722,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.0,0.0,0.0,3200
floor2,1.0,0.1078125,0.19464033850493653,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.11260188992281613,0.975625,0.2019013128112268,3200
seat1,0.0,0.0,0.0,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.0,0.0,0.0,3200
wall1,0.07834290401968827,0.0596875,0.06775452288045407,3200
,Macro Average
precision,0.044883318395531516
recall,0.07654017857142857
f1-score,0.02099109224533177
support,89600.0
,Weighted Average
precision,0.044883318395531516
recall,0.07654017857142857
f1-score,0.02099109224533177
support,89600.0
,
overall accuracy,0.07654017857142857
