,precision,recall,f1-score,N Predictions
blanket1,0.05365355135411344,0.8203125,0.10071942446043167,3200
blanket2,0.749031007751938,0.2415625,0.36531190926275997,3200
canvas1,0.6572934973637962,0.350625,0.4573058895455472,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.6586345381526104,0.56375,0.6075096817646068,3200
cushion1,0.02390438247011952,0.043125,0.030758943497158135,3200
floor1,0.9293361884368309,0.27125,0.41993226898887276,3200
floor2,0.18223690798037448,0.56875,0.27602942291650867,3200
grass1,0.04149377593360996,0.003125,0.005812263876780006,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.031031031031031032,0.0096875,0.014765420338175756,3200
oatmeal1,0.024739583333333332,0.0059375,0.009576612903225807,3200
pearlsugar1,0.05142857142857143,0.01125,0.01846153846153846,3200
rice1,0.8465458663646659,0.4671875,0.6020942408376964,3200
rice2,0.0,0.0,0.0,3200
rug1,0.015312131919905771,0.0040625,0.006421338602123981,3200
sand1,0.14285714285714285,0.00125,0.0024783147459727386,3200
scarf1,0.7531468531468531,0.3365625,0.4652267818574514,3200
scarf2,0.5921104536489152,0.4690625,0.5234524847428074,3200
screen1,0.78318276580959,0.3521875,0.4858805777107135,3200
seat1,0.8491335372069317,0.2603125,0.3984692657259029,3200
seat2,0.5,0.001875,0.0037359900373599006,3200
sesameseeds1,0.04112081513828239,0.0353125,0.03799596503026227,3200
stone1,0.0,0.0,0.0,3200
stone2,0.07407407407407407,0.000625,0.0012395413696932136,3200
stone3,0.2886435331230284,0.0571875,0.09546165884194054,3200
stoneslab1,0.36809470124013527,0.2040625,0.2625653397667873,3200
wall1,0.8566473988439306,0.2315625,0.36457564575645757,3200
,Macro Average
precision,0.33977329673606377
recall,0.18966517857142856
f1-score,0.19842073289431336
support,89600.0
,Weighted Average
precision,0.3397732967360637
recall,0.18966517857142856
f1-score,0.19842073289431336
support,89600.0
,
overall accuracy,0.18966517857142856
