,precision,recall,f1-score,N Predictions
blanket1,0.41450777202072536,0.475,0.4426969564584243,3200
blanket2,1.0,0.893125,0.9435457246616045,3200
canvas1,0.4883328216149831,0.9940625,0.6549310273831583,3200
ceiling1,0.9467455621301775,0.4,0.562390158172232,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,1.0,0.62375,0.7682832948421863,3200
floor1,1.0,0.9534375,0.9761638137897936,3200
floor2,0.9849184364419822,1.0,0.9924019227787254,3200
grass1,0.288052943225357,0.7753125,0.42004571235079996,3200
lentils1,0.12586134158346224,0.2796875,0.1736010086315585,3200
linseeds1,0.25452812202097236,0.33375,0.2888047593293673,3200
oatmeal1,0.27606177606177607,0.2234375,0.2469775474956822,3200
pearlsugar1,0.24517906336088155,0.055625,0.09067753438614365,3200
rice1,0.6488843813387424,0.9996875,0.7869618696186961,3200
rice2,1.0,0.02125,0.04161566707466341,3200
rug1,1.0,0.0109375,0.021638330757341576,3200
sand1,0.746257197696737,0.6075,0.6697674418604651,3200
scarf1,0.5139968895800933,0.82625,0.6337488015340365,3200
scarf2,1.0,0.9015625,0.9482333607230896,3200
screen1,1.0,0.8975,0.9459815546772068,3200
seat1,0.35837774600285977,0.8615625,0.5061966400440651,3200
seat2,0.23937908496732027,0.0915625,0.13245931283905968,3200
sesameseeds1,1.0,0.006875,0.013656114214773434,3200
stone1,0.555812876331635,0.375,0.4478447471543198,3200
stone2,0.46153846153846156,0.08625,0.14533965244865718,3200
stone3,0.1720352708295843,0.29875,0.21833961402306729,3200
stoneslab1,0.376258389261745,0.2803125,0.3212750716332378,3200
wall1,0.6775315080399826,0.4871875,0.5668060352663151,3200
,Macro Average
precision,0.6347949872874101
recall,0.5271205357142857
f1-score,0.4985851312195954
support,89600.0
,Weighted Average
precision,0.63479498728741
recall,0.5271205357142857
f1-score,0.49858513121959536
support,89600.0
,
overall accuracy,0.5271205357142857
