,precision,recall,f1-score,N Predictions
blanket1,0.037037037037037035,0.0103125,0.016132974822781716,3200
blanket2,0.055299539170506916,0.3375,0.0950285965684118,3200
canvas1,0.0782851817334576,0.02625,0.039316639363444886,3200
ceiling1,0.05008347245409015,0.009375,0.01579362990260595,3200
ceiling2,0.08211035716164326,0.4878125,0.14056098329656477,3200
cushion1,0.048280701754385966,0.1075,0.06663438256658596,3200
floor1,0.17213695395513579,0.2278125,0.19609952925353058,3200
floor2,0.07340129749768304,0.12375,0.09214659685863874,3200
grass1,0.09301552106430155,0.2621875,0.13731587561374795,3200
lentils1,0.027722772277227723,0.004375,0.007557354925775979,3200
linseeds1,0.052798982188295165,0.0259375,0.034786253143336124,3200
oatmeal1,0.038461538461538464,0.0028125,0.0052417006406523005,3200
pearlsugar1,0.046357615894039736,0.004375,0.00799543118218161,3200
rice1,0.06565656565656566,0.024375,0.03555150410209663,3200
rice2,0.035922330097087375,0.0115625,0.017494089834515367,3200
rug1,0.04044117647058824,0.0034375,0.0063364055299539165,3200
sand1,0.2289855072463768,0.0246875,0.044569816643159385,3200
scarf1,0.013490725126475547,0.0025,0.004218296862641709,3200
scarf2,0.12552891396332863,0.0278125,0.04553594269634178,3200
screen1,0.14723517654896737,0.27625,0.192090395480226,3200
seat1,0.0625,0.0025,0.004807692307692308,3200
seat2,0.12727272727272726,0.004375,0.008459214501510574,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.015384615384615385,0.0003125,0.0006125574272588055,3200
stone2,0.0,0.0,0.0,3200
stone3,0.007952286282306162,0.00125,0.0021604104779908186,3200
stoneslab1,0.011627906976744186,0.000625,0.0011862396204033216,3200
wall1,0.08066696710229833,0.22375,0.11858231202384895,3200
,Macro Average
precision,0.06491628102776512
recall,0.07976562499999999
f1-score,0.04772195805878208
support,89600.0
,Weighted Average
precision,0.06491628102776512
recall,0.079765625
f1-score,0.04772195805878206
support,89600.0
,
overall accuracy,0.079765625
