,precision,recall,f1-score,N Predictions
blanket1,0.0893371757925072,0.0484375,0.06281661600810537,3200
blanket2,0.06798711950908318,0.3496875,0.1138409888600641,3200
canvas1,0.21176470588235294,0.225,0.21818181818181817,3200
ceiling1,0.14002478314745972,0.070625,0.09389281262982965,3200
ceiling2,0.08331798366795604,0.4240625,0.13927233540308923,3200
cushion1,0.10235387463633959,0.1209375,0.1108723678556081,3200
floor1,0.2764081632653061,0.5290625,0.3631099195710455,3200
floor2,0.08513903936439148,0.2946875,0.13210983468758755,3200
grass1,0.17117275280898878,0.3046875,0.21919964028776978,3200
lentils1,0.19545938275984392,0.1721875,0.18308689151021765,3200
linseeds1,0.20364891518737674,0.1290625,0.15799540933435346,3200
oatmeal1,0.05128205128205128,0.01125,0.018452075858534086,3200
pearlsugar1,0.049099836333878884,0.009375,0.01574389923904487,3200
rice1,0.12206572769953052,0.065,0.08482871125611746,3200
rice2,0.0830820770519263,0.0775,0.08019401778496363,3200
rug1,0.10174880763116058,0.02,0.0334290937581614,3200
sand1,0.1835564053537285,0.03,0.05157131345688961,3200
scarf1,0.2781844802342606,0.059375,0.0978624774658769,3200
scarf2,0.5608170844939647,0.3775,0.4512514008218154,3200
screen1,0.30881057268722467,0.2190625,0.2563071297989031,3200
seat1,0.5548872180451128,0.1153125,0.1909443725743855,3200
seat2,0.17735849056603772,0.0146875,0.027128427128427127,3200
sesameseeds1,0.6483279395900755,0.1878125,0.291252725951054,3200
stone1,0.24433656957928804,0.0471875,0.07909900471451022,3200
stone2,0.06936416184971098,0.00375,0.0071153276015416544,3200
stone3,0.0847457627118644,0.00625,0.011641443538998835,3200
stoneslab1,0.2478849407783418,0.0915625,0.13372889091738932,3200
wall1,0.1810918774966711,0.1275,0.1496423986796259,3200
,Macro Average
precision,0.1990449249788012
recall,0.14755580357142858
f1-score,0.1348061194598474
support,89600.0
,Weighted Average
precision,0.19904492497880122
recall,0.14755580357142858
f1-score,0.1348061194598474
support,89600.0
,
overall accuracy,0.14755580357142858
