,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.4650918635170604,0.55375,0.5055634807417974,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.4330175913396482,1.0,0.6043437204910292,3200
cushion1,0.09352014010507881,0.5840625,0.16122492991158074,3200
floor1,1.0,0.1365625,0.24030794610943088,3200
floor2,1.0,0.6675,0.800599700149925,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0005085607730123749,0.00375,0.0008956560680698613,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.17798752738917917,0.33,0.23124931566845505,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.24268199233716475,0.9896875,0.3897846153846154,3200
seat1,0.0,0.0,0.0,3200
seat2,0.34583645911477867,0.1440625,0.20339730862563424,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.1925133689839572,0.0225,0.04029099048684947,3200
wall1,0.10998463901689708,0.111875,0.11092176607281176,3200
,Macro Average
precision,0.14504079080631344
recall,0.16227678571428575
f1-score,0.11744926534679283
support,89600.0
,Weighted Average
precision,0.14504079080631346
recall,0.16227678571428572
f1-score,0.11744926534679281
support,89600.0
,
overall accuracy,0.16227678571428572
