,precision,recall,f1-score,N Predictions
blanket1,0.016611295681063124,0.009375,0.011985617259288855,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.6023850085178876,0.5525,0.5763651181744093,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.0,0.0,0.0,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.0,0.0,0.0,3200
floor2,0.1802512251450459,1.0,0.30544552092779076,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.0,0.0,0.0,3200
seat1,0.06319702602230483,0.23375,0.09949454642192072,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.011975358397144338,0.065,0.020224609849773933,3200
wall1,0.024793388429752067,0.0075,0.011516314779270632,3200
,Macro Average
precision,0.03211476079261421
recall,0.06671875000000001
f1-score,0.036608275979016225
support,89600.0
,Weighted Average
precision,0.03211476079261421
recall,0.06671875
f1-score,0.036608275979016225
support,89600.0
,
overall accuracy,0.06671875
