,precision,recall,f1-score,N Predictions
blanket1,0.1882866951003849,0.565625,0.2825255599781472,3200
blanket2,0.015590200445434299,0.00875,0.011208967173738992,3200
canvas1,0.023346303501945526,0.00375,0.006462035541195476,3200
ceiling1,0.03358613217768147,0.0096875,0.015037593984962405,3200
ceiling2,0.39863769056114173,0.3840625,0.3912143880311953,3200
cushion1,0.02927279013483923,0.079375,0.04277174370632315,3200
floor1,0.4780039395929087,0.2275,0.3082786364598772,3200
floor2,0.054530938123752495,0.6403125,0.10050275904353158,3200
grass1,0.05456026058631922,0.0209375,0.03026196928635953,3200
lentils1,0.03860010293360782,0.0234375,0.029165856503986,3200
linseeds1,0.03107488537952114,0.038125,0.03424080830760595,3200
oatmeal1,0.05309250136836344,0.060625,0.05660927925299095,3200
pearlsugar1,0.06397306397306397,0.0415625,0.050388331123318815,3200
rice1,0.025,0.0040625,0.006989247311827957,3200
rice2,0.027700831024930747,0.00625,0.010198878123406425,3200
rug1,0.033632286995515695,0.0140625,0.01983252534156016,3200
sand1,0.040293040293040296,0.0034375,0.006334581053843939,3200
scarf1,0.2062146892655367,0.0228125,0.04108047270680922,3200
scarf2,0.32045779685264664,0.14,0.1948673336233145,3200
screen1,0.8050847457627118,0.11875,0.20697167755991286,3200
seat1,0.5263770364623739,0.4240625,0.46971270335756315,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.03629139072847682,0.0428125,0.039283154121863804,3200
stone1,0.011627906976744186,0.0009375,0.001735106998264893,3200
stone2,0.034782608695652174,0.0025,0.004664723032069971,3200
stone3,0.03225806451612903,0.0015625,0.0029806259314456036,3200
stoneslab1,0.0,0.0,0.0,3200
wall1,0.8311499272197962,0.1784375,0.2937998456393105,3200
,Macro Average
precision,0.15690806530973278
recall,0.10940848214285713
f1-score,0.09489710011408663
support,89600.0
,Weighted Average
precision,0.15690806530973278
recall,0.10940848214285714
f1-score,0.09489710011408661
support,89600.0
,
overall accuracy,0.10940848214285714
