,precision,recall,f1-score,N Predictions
blanket1,0.6001744693224774,0.645,0.6217803886127429,3200
blanket2,0.7981683691440649,0.708125,0.7504553734061931,3200
canvas1,0.4462921348314607,0.620625,0.5192156862745098,3200
ceiling1,0.6744111003549532,0.653125,0.6635973964121289,3200
ceiling2,0.79402460456942,0.7059375,0.747394540942928,3200
cushion1,0.4127740705433746,0.54125,0.468361276365603,3200
floor1,0.6859784283513097,0.695625,0.6907680372381693,3200
floor2,0.14057198254968492,0.54375,0.22339196302477854,3200
grass1,0.763746681835419,0.629375,0.6900805208154874,3200
lentils1,0.6927244582043344,0.559375,0.6189488243430151,3200
linseeds1,0.3075122366460949,0.4515625,0.3658690973540955,3200
oatmeal1,0.49464524765729584,0.461875,0.47769877181641884,3200
pearlsugar1,0.7296712802768166,0.5271875,0.6121190130624092,3200
rice1,0.6668581275129236,0.725625,0.6950014965579168,3200
rice2,0.8193604148660328,0.5925,0.6877040261153428,3200
rug1,0.7767419038272817,0.4946875,0.6044291714394807,3200
sand1,0.7319665907365224,0.6025,0.6609530339389785,3200
scarf1,0.9375302663438256,0.605,0.7354226020892687,3200
scarf2,0.751010781671159,0.6965625,0.7227626459143968,3200
screen1,0.9512485136741974,0.75,0.8387209505504105,3200
seat1,0.851823118696664,0.68625,0.7601246105919004,3200
seat2,0.8394160583941606,0.646875,0.7306741969643487,3200
sesameseeds1,0.5394456289978679,0.474375,0.504822081809112,3200
stone1,0.7779369627507163,0.5090625,0.6154136758594636,3200
stone2,0.7283582089552239,0.4575,0.5619961612284069,3200
stone3,0.8001850138760407,0.540625,0.6452816113390527,3200
stoneslab1,0.5137485970819304,0.5721875,0.5413956238911887,3200
wall1,0.8314193844740468,0.565625,0.6732378649804723,3200
,Macro Average
precision,0.6806337370051893
recall,0.5950781249999999
f1-score,0.6224150229620792
support,89600.0
,Weighted Average
precision,0.6806337370051894
recall,0.595078125
f1-score,0.6224150229620793
support,89600.0
,
overall accuracy,0.595078125
