,precision,recall,f1-score,N Predictions
no-noise,0.8260178631862392,0.6265290178571429,0.7125748122949206,89600
gaussian,0.4762309720214304,1.0,0.6451984561322657,89600
speckle,0.6992264324111709,0.17856026785714285,0.2844747112845725,89600
salt-pepper,0.9871055481401264,0.8748883928571428,0.9276154638077319,89600
,Macro Average
precision,0.7471452039397417
recall,0.6699944196428571
f1-score,0.6424658608798726
support,358400.0
,Weighted Average
precision,0.7471452039397416
recall,0.6699944196428571
f1-score,0.6424658608798726
support,358400.0
,
overall accuracy,0.6699944196428571
