,precision,recall,f1-score,N Predictions
no-noise,0.9764745092630901,0.9482700892857143,0.9621656512581251,89600
gaussian,0.8770463391203589,0.9883705357142857,0.9293866392406059,89600
speckle,0.9481831653460375,0.8640848214285715,0.9041827004490433,89600
salt-pepper,0.9861201865663234,0.9768973214285714,0.9814870880568731,89600
,Macro Average
precision,0.9469560500739524
recall,0.9444056919642857
f1-score,0.9443055197511618
support,358400.0
,Weighted Average
precision,0.9469560500739524
recall,0.9444056919642857
f1-score,0.9443055197511617
support,358400.0
,
overall accuracy,0.9444056919642857
