,precision,recall,f1-score,N Predictions
gaussian,0.5228910740859619,1.0,0.6867084363204384,89600
speckle,0.6076544145509662,0.08948660714285714,0.15599980543800768,89600
salt-pepper,1.0,0.9402901785714286,0.9692263445498993,89600
,Macro Average
precision,0.7101818295456427
recall,0.6765922619047618
f1-score,0.6039781954361151
support,268800.0
,Weighted Average
precision,0.7101818295456427
recall,0.676592261904762
f1-score,0.6039781954361152
support,268800.0
,
overall accuracy,0.676592261904762
