,precision,recall,f1-score,N Predictions
gaussian,0.9357917409387998,0.9843359375,0.9594501979896437,179200
speckle,0.9750479173484176,0.9311272321428572,0.9525815806900962,179200
salt-pepper,0.9986571223086259,0.9918359375,0.9952348422066433,179200
,Macro Average
precision,0.9698322601986145
recall,0.9690997023809524
f1-score,0.9690888736287944
support,537600.0
,Weighted Average
precision,0.9698322601986145
recall,0.9690997023809523
f1-score,0.9690888736287944
support,537600.0
,
overall accuracy,0.9690997023809523
