,precision,recall,f1-score,N Predictions
blanket1,0.4736198276779066,0.9276041666666667,0.6270685163016689,38400
blanket2,0.7493690851735015,0.9897916666666666,0.8529622980251346,38400
canvas1,0.8711212246586678,0.8772916666666667,0.8741955574008718,38400
ceiling1,0.7111661214746706,0.8379166666666666,0.7693558414231743,38400
ceiling2,1.0,1.0,1.0,38400
cushion1,0.7428851815505397,0.7096875,0.7259069841777209,38400
floor1,0.9868421052631579,1.0,0.9933774834437086,38400
floor2,1.0,0.9980208333333334,0.9990094364214588,38400
grass1,0.8599331522874452,0.8576041666666666,0.858767080421404,38400
lentils1,0.5793459966338061,0.5019791666666666,0.5378948543364215,38400
linseeds1,0.9650234998360476,0.9196875,0.9418102298789269,38400
oatmeal1,0.7398628795298726,0.786875,0.762645128722867,38400
pearlsugar1,0.761491683062064,0.8869791666666667,0.8194591473390436,38400
rice1,0.9970562581770607,0.9526041666666667,0.974323460473045,38400
rice2,0.53003300330033,0.7528125,0.6220787604906391,38400
rug1,0.5876795452799755,0.7969791666666667,0.6765108979176799,38400
sand1,0.8716995519969498,0.9526041666666667,0.9103578716838385,38400
scarf1,0.9618129907209136,0.5614583333333333,0.7090239410681399,38400
scarf2,0.9870109298273404,0.6490625,0.7831332872494187,38400
screen1,1.0,0.6410416666666666,0.7812619017392407,38400
seat1,0.8008724659994868,0.6502083333333334,0.7177187535931931,38400
seat2,0.41986851716581447,0.299375,0.3495287321374278,38400
sesameseeds1,0.8964326812428078,0.97375,0.9334931096464949,38400
stone1,0.43755514165277914,0.9298958333333334,0.5950936604226384,38400
stone2,0.6292953835473794,0.18885416666666666,0.290521592821088,38400
stone3,0.6265784726398076,0.325625,0.428542052231133,38400
stoneslab1,0.7131166174130484,0.6535416666666667,0.6820306555060334,38400
wall1,0.9306270827022115,0.32,0.4762421517711806,38400
,Macro Average
precision,0.7796535499576283
recall,0.7479017857142856
f1-score,0.7390111923801282
support,1075200.0
,Weighted Average
precision,0.7796535499576279
recall,0.7479017857142857
f1-score,0.7390111923801282
support,1075200.0
,
overall accuracy,0.7479017857142857
