,precision,recall,f1-score,N Predictions
blanket1,0.4591194968553459,0.63875,0.5342394145321485,3200
blanket2,1.0,0.9984375,0.9992181391712275,3200
canvas1,1.0,0.9309375,0.9642336947726169,3200
ceiling1,0.595514950166113,0.89625,0.7155688622754491,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,0.9908598510494245,0.9146875,0.951251218719532,3200
floor1,1.0,1.0,1.0,3200
floor2,0.5711892797319933,0.9590625,0.7159687390645049,3200
grass1,0.840297121634169,0.8484375,0.8443476908723371,3200
lentils1,0.7378691983122363,0.4371875,0.5490580847723705,3200
linseeds1,0.8760458630306787,0.8834375,0.8797261552824023,3200
oatmeal1,0.48258823529411765,0.6409375,0.5506040268456376,3200
pearlsugar1,0.6409978308026031,0.5540625,0.5943680858196446,3200
rice1,0.9929055143502096,0.9621875,0.9773051896524361,3200
rice2,0.6936847339632024,0.871875,0.7726391581279425,3200
rug1,0.6650671785028791,0.433125,0.5246025738077214,3200
sand1,0.9844517184942717,0.751875,0.852586817859674,3200
scarf1,0.9631043256997456,0.94625,0.9546027742749054,3200
scarf2,1.0,1.0,1.0,3200
screen1,1.0,0.759375,0.8632326820603908,3200
seat1,0.8659310344827587,0.9809375,0.9198534798534799,3200
seat2,0.6067773481919491,0.83375,0.7023825194155588,3200
sesameseeds1,1.0,1.0,1.0,3200
stone1,0.5901675005438329,0.8478125,0.6959086828267282,3200
stone2,0.44469525959367945,0.0615625,0.10815262146582487,3200
stone3,0.5842999730240086,0.676875,0.6271898074417258,3200
stoneslab1,0.49781447304516757,0.3203125,0.3898079482791405,3200
wall1,0.9222636815920398,0.4634375,0.6168885191347754,3200
,Macro Average
precision,0.7859158774414438
recall,0.771841517857143
f1-score,0.7608477459402919
support,89600.0
,Weighted Average
precision,0.7859158774414438
recall,0.7718415178571428
f1-score,0.7608477459402919
support,89600.0
,
overall accuracy,0.7718415178571428
