,precision,recall,f1-score,N Predictions
blanket1,0.45759911894273125,0.2596875,0.33133971291866027,3200
blanket2,0.9842007434944238,0.9928125,0.9884878655880522,3200
canvas1,0.9225486455551316,0.755625,0.830785088472771,3200
ceiling1,0.3478482735159041,0.6390625,0.45049014208613286,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,0.7713659605551497,0.33,0.4622455679579776,3200
floor1,0.9459060005911912,1.0,0.9722011241075498,3200
floor2,1.0,1.0,1.0,3200
grass1,0.8374570446735395,0.7615625,0.7977086743044189,3200
lentils1,0.3742802303262956,0.24375,0.2952308856926571,3200
linseeds1,0.9242181234963913,0.7203125,0.8096241657885492,3200
oatmeal1,0.9231722428748451,0.465625,0.6190278354798504,3200
pearlsugar1,0.5342140026420079,0.631875,0.5789549033643521,3200
rice1,0.6982325987344534,1.0,0.8223050237697546,3200
rice2,0.33178425573862835,0.73625,0.4574313173478302,3200
rug1,0.35493887056083834,0.5715625,0.4379264934753981,3200
sand1,0.9074074074074074,0.9034375,0.9054181020983402,3200
scarf1,0.956182212581345,0.68875,0.8007266121707539,3200
scarf2,0.994634473507713,0.926875,0.9595600129407958,3200
screen1,1.0,0.8584375,0.9238271397343198,3200
seat1,0.6412429378531074,0.993125,0.7793035801863659,3200
seat2,0.4621173251239952,0.844375,0.597325080137062,3200
sesameseeds1,1.0,0.7871875,0.8809232383283792,3200
stone1,0.4352709912945802,0.484375,0.4585120544298181,3200
stone2,0.4104938271604938,0.0415625,0.07548240635641316,3200
stone3,0.5697940503432495,0.155625,0.24447717231222388,3200
stoneslab1,0.5829031591988437,0.8821875,0.7019768743006342,3200
wall1,0.9961389961389961,0.3225,0.48725212464589235,3200
,Macro Average
precision,0.7272839818682593
recall,0.6784486607142858
f1-score,0.6667336856426769
support,89600.0
,Weighted Average
precision,0.7272839818682594
recall,0.6784486607142857
f1-score,0.666733685642677
support,89600.0
,
overall accuracy,0.6784486607142857
