,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.0,0.0,0.0,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,1.0,0.0403125,0.07750075097626916,3200
cushion1,0.0,0.0,0.0,3200
floor1,1.0,0.0140625,0.027734976887519257,3200
floor2,1.0,0.1115625,0.2007309530503233,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.05520382286473338,1.0,0.10463158238919679,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.744080604534005,0.923125,0.8239888423988841,3200
seat1,0.5971615720524017,0.1709375,0.2657920310981535,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.022900763358778626,0.0046875,0.007782101167315174,3200
stoneslab1,1.0,0.006875,0.013656114214773434,3200
wall1,0.5289492494639028,0.23125,0.32180908893237664,3200
,Macro Average
precision,0.21243914329549365
recall,0.08938616071428572
f1-score,0.06584380146838613
support,89600.0
,Weighted Average
precision,0.2124391432954936
recall,0.08938616071428572
f1-score,0.06584380146838613
support,89600.0
,
overall accuracy,0.08938616071428572
