,precision,recall,f1-score,N Predictions
blanket1,0.7392894461859979,0.884375,0.8053500284575982,3200
blanket2,0.9780645161290322,0.47375,0.6383157894736843,3200
canvas1,0.6949787659255559,0.869375,0.7724559211439678,3200
ceiling1,0.6792079207920793,0.643125,0.6606741573033708,3200
ceiling2,1.0,1.0,1.0,3200
cushion1,0.6191962543893874,0.4959375,0.5507548152004165,3200
floor1,1.0,0.9315625,0.9645688399935285,3200
floor2,0.9980243661508067,0.9471875,0.9719416386083053,3200
grass1,0.7558724832214765,0.8446875,0.7978158205430933,3200
lentils1,0.7345003646973013,0.9440625,0.8261999179543279,3200
linseeds1,0.8380044843049327,0.934375,0.8835697399527187,3200
oatmeal1,0.5438729198184569,0.89875,0.6776625824693685,3200
pearlsugar1,0.7275408956824886,0.8478125,0.7830855823351134,3200
rice1,0.8532901833872708,0.98875,0.9160393746381007,3200
rice2,0.8119578686493185,0.8190625,0.8154947106409458,3200
rug1,0.21052631578947367,0.0025,0.004941321803582459,3200
sand1,0.43218989723548995,0.933125,0.5907607082797507,3200
scarf1,0.7512497024517972,0.98625,0.852857721929469,3200
scarf2,0.9616709732988803,0.6978125,0.8087649402390438,3200
screen1,1.0,0.9009375,0.9478875554824922,3200
seat1,0.8033519553072626,0.2246875,0.3511599511599512,3200
seat2,0.5398671096345515,0.203125,0.29518619436875565,3200
sesameseeds1,0.6743857667325615,0.74625,0.7085002225189141,3200
stone1,0.4573201408686903,0.8521875,0.5952199061442759,3200
stone2,0.4656873995868717,0.6340625,0.5369855762868864,3200
stone3,0.3619631901840491,0.0184375,0.03508771929824561,3200
stoneslab1,0.8973229413758048,0.8275,0.8609982116728986,3200
wall1,0.9177192349332371,0.7946875,0.8517836208340311,3200
,Macro Average
precision,0.7302519677404563
recall,0.7265848214285714
f1-score,0.69657366316903
support,89600.0
,Weighted Average
precision,0.7302519677404563
recall,0.7265848214285714
f1-score,0.6965736631690298
support,89600.0
,
overall accuracy,0.7265848214285714
