,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.006844626967830253,0.00625,0.006533812479581836,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.0,0.0,0.0,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.0,0.0,0.0,3200
floor2,0.15441779665106403,1.0,0.26752497596455294,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.0,0.0,0.0,3200
seat1,0.16574476491505333,0.7865625,0.2737952790166431,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.022299150294474667,0.155,0.03898911291907401,3200
wall1,1.0,0.08,0.14814814814814814,3200
,Macro Average
precision,0.04818951210101508
recall,0.072421875
f1-score,0.026249690304571426
support,89600.0
,Weighted Average
precision,0.048189512101015075
recall,0.072421875
f1-score,0.02624969030457143
support,89600.0
,
overall accuracy,0.072421875
